benchmark,sample_index,frame_time_ms,fps
pack_shader_showcase,0,9.6977,103.1167
pack_shader_showcase,1,7.1442,139.9729
pack_shader_showcase,2,24.0322,41.6109
pack_shader_showcase,3,15.3855,64.9963
pack_shader_showcase,4,10.0891,99.1165
pack_shader_showcase,5,7.0060,142.7346
pack_shader_showcase,6,9.8959,101.0517
pack_shader_showcase,7,6.6928,149.4152
pack_shader_showcase,8,7.9111,126.4039
pack_shader_showcase,9,8.4107,118.8968
pack_shader_showcase,10,22.2536,44.9366
pack_shader_showcase,11,4.0256,248.4131
pack_shader_showcase,12,15.7400,63.5324
pack_shader_showcase,13,7.7858,128.4389
pack_shader_showcase,14,8.8893,112.4947
pack_shader_showcase,15,7.3032,136.9265
pack_shader_showcase,16,10.6801,93.6318
pack_shader_showcase,17,7.5278,132.8415
pack_shader_showcase,18,8.2747,120.8508
pack_shader_showcase,19,19.6234,50.9595
pack_shader_showcase,20,23.4222,42.6945
pack_shader_showcase,21,3.2262,309.9606
pack_shader_showcase,22,8.5817,116.5271
pack_shader_showcase,23,9.5911,104.2630
pack_shader_showcase,24,6.9812,143.2417
pack_shader_showcase,25,11.9636,83.5865
pack_shader_showcase,26,5.9275,168.7065
pack_shader_showcase,27,7.9107,126.4118
pack_shader_showcase,28,18.5347,53.9528
pack_shader_showcase,29,21.3157,46.9137
pack_shader_showcase,30,16.2547,61.5206
pack_shader_showcase,31,3.5779,279.4955
pack_shader_showcase,32,9.2958,107.5758
pack_shader_showcase,33,7.3984,135.1650
pack_shader_showcase,34,8.9116,112.2138
pack_shader_showcase,35,7.8311,127.6959
pack_shader_showcase,36,16.2241,61.6367
pack_shader_showcase,37,18.0237,55.4825
pack_shader_showcase,38,7.2003,138.8826
pack_shader_showcase,39,7.0795,141.2533
pack_shader_showcase,40,8.4895,117.7925
pack_shader_showcase,41,8.2412,121.3415
pack_shader_showcase,42,9.3092,107.4204
pack_shader_showcase,43,7.5441,132.5541
pack_shader_showcase,44,20.9971,47.6256
pack_shader_showcase,45,1.6279,614.3027
pack_shader_showcase,46,18.3809,54.4042
pack_shader_showcase,47,6.6767,149.7750
pack_shader_showcase,48,14.2670,70.0916
pack_shader_showcase,49,3.9238,254.8567
pack_shader_showcase,50,8.6773,115.2436
pack_shader_showcase,51,8.8016,113.6162
pack_shader_showcase,52,8.8228,113.3424
pack_shader_showcase,53,19.7913,50.5271
pack_shader_showcase,54,16.5098,60.5701
pack_shader_showcase,55,4.9970,200.1181
pack_shader_showcase,56,9.2867,107.6804
pack_shader_showcase,57,8.6025,116.2448
pack_shader_showcase,58,8.5444,117.0364
pack_shader_showcase,59,7.4005,135.1255
pack_shader_showcase,60,9.3851,106.5521
pack_shader_showcase,61,7.4168,134.8291
pack_shader_showcase,62,39.8506,25.0938
pack_shader_showcase,63,7.4764,133.7546
pack_shader_showcase,64,7.0512,141.8190
pack_shader_showcase,65,7.5556,132.3515
pack_shader_showcase,66,10.0419,99.5832
pack_shader_showcase,67,6.6909,149.4567
pack_shader_showcase,68,8.0164,124.7440
pack_shader_showcase,69,8.5147,117.4439
pack_shader_showcase,70,19.2774,51.8743
pack_shader_showcase,71,19.6735,50.8298
pack_shader_showcase,72,4.3968,227.4360
pack_shader_showcase,73,8.4898,117.7881
pack_shader_showcase,74,8.9755,111.4140
pack_shader_showcase,75,8.1555,122.6164
pack_shader_showcase,76,9.3155,107.3479
pack_shader_showcase,77,7.1388,140.0794
pack_shader_showcase,78,8.4288,118.6404
pack_shader_showcase,79,20.7118,48.2817
pack_shader_showcase,80,17.5850,56.8667
pack_shader_showcase,81,7.7839,128.4710
pack_shader_showcase,82,7.8938,126.6813
pack_shader_showcase,83,8.4152,118.8327
pack_shader_showcase,84,8.1105,123.2969
pack_shader_showcase,85,10.1684,98.3436
pack_shader_showcase,86,7.5625,132.2318
pack_shader_showcase,87,20.3798,49.0681
pack_shader_showcase,88,1.8478,541.1923
pack_shader_showcase,89,16.9248,59.0850
pack_shader_showcase,90,12.4392,80.3912
pack_shader_showcase,91,4.2429,235.6889
pack_shader_showcase,92,8.6212,115.9935
pack_shader_showcase,93,8.6267,115.9198
pack_shader_showcase,94,9.0867,110.0507
pack_shader_showcase,95,8.1094,123.3142
pack_shader_showcase,96,9.4528,105.7892
pack_shader_showcase,97,16.9542,58.9824
pack_shader_showcase,98,17.3279,57.7105
pack_shader_showcase,99,14.0350,71.2503
pack_shader_showcase,100,9.1096,109.7738
pack_shader_showcase,101,6.8460,146.0711
pack_shader_showcase,102,8.2937,120.5737
pack_shader_showcase,103,8.9182,112.1306
pack_shader_showcase,104,7.1456,139.9465
pack_shader_showcase,105,21.2076,47.1529
pack_shader_showcase,106,14.7800,67.6592
pack_shader_showcase,107,8.5340,117.1790
pack_shader_showcase,108,9.0011,111.0980
pack_shader_showcase,109,6.6953,149.3585
pack_shader_showcase,110,8.3762,119.3861
pack_shader_showcase,111,8.5572,116.8603
pack_shader_showcase,112,9.1712,109.0373
pack_shader_showcase,113,7.4563,134.1148
pack_shader_showcase,114,19.5793,51.0744
pack_shader_showcase,115,16.1025,62.1023
pack_shader_showcase,116,9.3680,106.7464
pack_shader_showcase,117,6.3288,158.0078
pack_shader_showcase,118,9.5518,104.6926
pack_shader_showcase,119,7.3536,135.9873
pack_shader_showcase,120,7.6907,130.0264
pack_shader_showcase,121,8.3806,119.3229
pack_shader_showcase,122,9.5701,104.4917
pack_shader_showcase,123,18.1790,55.0085
pack_shader_showcase,124,15.2252,65.6806
pack_shader_showcase,125,7.9402,125.9407
pack_shader_showcase,126,9.3462,106.9956
pack_shader_showcase,127,6.6789,149.7257
pack_shader_showcase,128,9.7581,102.4788
pack_shader_showcase,129,6.9989,142.8790
pack_shader_showcase,130,8.3325,120.0114
pack_shader_showcase,131,8.3941,119.1308
pack_shader_showcase,132,14.5684,68.6419
pack_shader_showcase,133,18.7286,53.3943
pack_shader_showcase,134,6.7120,148.9880
pack_shader_showcase,135,8.8875,112.5172
pack_shader_showcase,136,7.5739,132.0316
pack_shader_showcase,137,9.3125,107.3830
pack_shader_showcase,138,7.7516,129.0049
pack_shader_showcase,139,12.3522,80.9573
pack_shader_showcase,140,5.3531,186.8081
pack_shader_showcase,141,20.2553,49.3698
