benchmark,sample_index,frame_time_ms,fps
particle_cycle,0,9.7760,102.2915
particle_cycle,1,7.7084,129.7283
particle_cycle,2,8.2522,121.1796
particle_cycle,3,8.2253,121.5762
particle_cycle,4,17.6587,56.6293
particle_cycle,5,21.2009,47.1677
particle_cycle,6,1.1510,868.7803
particle_cycle,7,18.8052,53.1769
particle_cycle,8,7.7716,128.6731
particle_cycle,9,9.7556,102.5057
particle_cycle,10,7.0012,142.8317
particle_cycle,11,8.4085,118.9268
particle_cycle,12,20.3570,49.1232
particle_cycle,13,1.1707,854.2051
particle_cycle,14,16.1549,61.9009
particle_cycle,15,1.1059,904.2016
particle_cycle,16,14.7668,67.7195
particle_cycle,17,2.1873,457.1790
particle_cycle,18,9.0842,110.0813
particle_cycle,19,7.9043,126.5137
particle_cycle,20,8.6736,115.2925
particle_cycle,21,9.2619,107.9692
particle_cycle,22,7.3937,135.2507
particle_cycle,23,19.3435,51.6970
particle_cycle,24,1.0220,978.4563
particle_cycle,25,17.8054,56.1628
particle_cycle,26,16.1036,62.0980
particle_cycle,27,7.5789,131.9447
particle_cycle,28,8.4533,118.2976
particle_cycle,29,7.9510,125.7700
particle_cycle,30,9.9461,100.5421
particle_cycle,31,6.5579,152.4890
particle_cycle,32,8.6966,114.9872
particle_cycle,33,16.4559,60.7684
particle_cycle,34,17.8106,56.1465
particle_cycle,35,0.9884,1011.6870
particle_cycle,36,14.4236,69.3306
particle_cycle,37,8.8808,112.6022
particle_cycle,38,8.1463,122.7554
particle_cycle,39,8.3478,119.7920
particle_cycle,40,9.4693,105.6045
particle_cycle,41,6.9596,143.6870
particle_cycle,42,19.2974,51.8206
particle_cycle,43,1.0645,939.4276
particle_cycle,44,14.2623,70.1151
particle_cycle,45,2.4854,402.3547
particle_cycle,46,14.2082,70.3819
particle_cycle,47,2.8843,346.7066
particle_cycle,48,8.5546,116.8961
particle_cycle,49,8.8273,113.2849
particle_cycle,50,8.2631,121.0206
particle_cycle,51,8.2218,121.6272
particle_cycle,52,9.2132,108.5401
particle_cycle,53,14.0373,71.2390
particle_cycle,54,1.5708,636.6296
particle_cycle,55,14.5926,68.5278
particle_cycle,56,16.8975,59.1802
particle_cycle,57,1.3225,756.1431
particle_cycle,58,8.6197,116.0132
particle_cycle,59,8.0769,123.8098
particle_cycle,60,9.2062,108.6227
particle_cycle,61,7.7023,129.8312
particle_cycle,62,8.6615,115.4539
particle_cycle,63,20.4582,48.8801
particle_cycle,64,1.0571,946.0120
particle_cycle,65,13.8159,72.3804
particle_cycle,66,16.9983,58.8293
particle_cycle,67,0.8750,1142.8872
particle_cycle,68,8.9179,112.1339
particle_cycle,69,8.3022,120.4493
particle_cycle,70,8.5705,116.6799
particle_cycle,71,8.1418,122.8231
particle_cycle,72,8.6085,116.1636
particle_cycle,73,21.9821,45.4916
particle_cycle,74,1.1199,892.9145
particle_cycle,75,14.6720,68.1569
particle_cycle,76,16.7781,59.6015
particle_cycle,77,2.3542,424.7677
particle_cycle,78,7.4507,134.2158
particle_cycle,79,8.3728,119.4337
particle_cycle,80,8.3717,119.4501
particle_cycle,81,8.4342,118.5651
particle_cycle,82,8.1673,122.4391
particle_cycle,83,15.7140,63.6374
particle_cycle,84,1.2980,770.4338
particle_cycle,85,15.5531,64.2957
particle_cycle,86,1.2779,782.5583
particle_cycle,87,17.0326,58.7110
particle_cycle,88,1.2170,821.6731
particle_cycle,89,9.6149,104.0053
particle_cycle,90,7.6549,130.6360
particle_cycle,91,8.2219,121.6271
particle_cycle,92,8.1735,122.3464
particle_cycle,93,8.6531,115.5650
particle_cycle,94,19.2896,51.8415
particle_cycle,95,1.3790,725.1521
particle_cycle,96,15.4478,64.7341
particle_cycle,97,16.9400,59.0320
particle_cycle,98,1.1854,843.5829
particle_cycle,99,10.1975,98.0633
particle_cycle,100,6.7986,147.0884
particle_cycle,101,8.5395,117.1032
particle_cycle,102,8.0528,124.1801
particle_cycle,103,9.1134,109.7283
particle_cycle,104,18.9746,52.7021
particle_cycle,105,13.6154,73.4460
particle_cycle,106,1.0282,972.5375
particle_cycle,107,18.0076,55.5321
particle_cycle,108,1.2771,783.0179
particle_cycle,109,8.6362,115.7922
particle_cycle,110,9.4459,105.8658
particle_cycle,111,7.1136,140.5753
particle_cycle,112,8.4650,118.1337
particle_cycle,113,23.0053,43.4683
particle_cycle,114,2.7743,360.4484
particle_cycle,115,15.6043,64.0849
particle_cycle,116,16.5799,60.3140
particle_cycle,117,1.0170,983.2861
particle_cycle,118,8.5584,116.8439
particle_cycle,119,8.3499,119.7614
particle_cycle,120,9.7128,102.9570
particle_cycle,121,6.9544,143.7948
particle_cycle,122,15.1748,65.8986
particle_cycle,123,1.6277,614.3627
particle_cycle,124,14.3054,69.9036
particle_cycle,125,16.4960,60.6208
particle_cycle,126,1.0403,961.3000
particle_cycle,127,8.6420,115.7141
particle_cycle,128,8.5405,117.0889
particle_cycle,129,8.4789,117.9396
particle_cycle,130,8.3118,120.3105
particle_cycle,131,9.5497,104.7153
particle_cycle,132,18.6682,53.5672
particle_cycle,133,1.1048,905.1183
particle_cycle,134,15.4791,64.6033
particle_cycle,135,18.5138,54.0137
particle_cycle,136,1.0836,922.8080
particle_cycle,137,8.9591,111.6184
particle_cycle,138,8.3160,120.2506
particle_cycle,139,8.5371,117.1358
particle_cycle,140,8.0151,124.7640
particle_cycle,141,9.6432,103.7005
particle_cycle,142,18.5408,53.9350
particle_cycle,143,1.0841,922.4505
particle_cycle,144,14.4822,69.0503
particle_cycle,145,2.2341,447.6061
particle_cycle,146,15.7621,63.4432
particle_cycle,147,0.9198,1087.2437
particle_cycle,148,8.9849,111.2982
particle_cycle,149,8.3263,120.1007
particle_cycle,150,8.2424,121.3240
particle_cycle,151,8.5449,117.0285
particle_cycle,152,8.2912,120.6094
particle_cycle,153,18.8668,53.0030
particle_cycle,154,1.7316,577.4959
particle_cycle,155,15.0793,66.3160
particle_cycle,156,1.0392,962.3083
particle_cycle,157,14.1055,70.8943
particle_cycle,158,3.6732,272.2452
particle_cycle,159,7.7536,128.9732
particle_cycle,160,8.1081,123.3328
particle_cycle,161,8.7899,113.7664
particle_cycle,162,8.3975,119.0827
particle_cycle,163,8.3783,119.3564
particle_cycle,164,21.5148,46.4797
particle_cycle,165,1.0050,995.0269
particle_cycle,166,17.4341,57.3588
particle_cycle,167,18.6037,53.7526
particle_cycle,168,1.3308,751.4390
particle_cycle,169,8.5647,116.7585
particle_cycle,170,8.2677,120.9520
particle_cycle,171,8.3053,120.4051
particle_cycle,172,8.5386,117.1154
particle_cycle,173,8.1495,122.7067
particle_cycle,174,17.9288,55.7763
particle_cycle,175,0.9625,1038.9956
particle_cycle,176,13.9907,71.4760
particle_cycle,177,15.3418,65.1812
particle_cycle,178,1.0810,925.0360
particle_cycle,179,9.9546,100.4560
particle_cycle,180,7.0724,141.3954
particle_cycle,181,10.1324,98.6933
particle_cycle,182,6.5367,152.9821
particle_cycle,183,8.6214,115.9902
particle_cycle,184,8.3950,119.1186
particle_cycle,185,14.7742,67.6855
particle_cycle,186,1.6848,593.5553
particle_cycle,187,13.8525,72.1893
particle_cycle,188,15.5066,64.4886
particle_cycle,189,1.0011,998.9242
particle_cycle,190,9.2973,107.5584
particle_cycle,191,7.6372,130.9382
particle_cycle,192,8.7548,114.2227
particle_cycle,193,8.2326,121.4690
particle_cycle,194,8.7243,114.6221
particle_cycle,195,18.5281,53.9722
particle_cycle,196,0.7296,1370.5464
particle_cycle,197,14.5282,68.8315
particle_cycle,198,2.3031,434.1885
particle_cycle,199,14.3012,69.9242
particle_cycle,200,2.4579,406.8481
particle_cycle,201,8.5779,116.5788
