benchmark,sample_index,frame_time_ms,fps
base_fps_showcase,0,22.4623,44.5190
base_fps_showcase,1,6.2733,159.4053
base_fps_showcase,2,7.4818,133.6581
base_fps_showcase,3,7.9906,125.1478
base_fps_showcase,4,16.2368,61.5885
base_fps_showcase,5,7.5123,133.1144
base_fps_showcase,6,8.9215,112.0890
base_fps_showcase,7,8.2295,121.5144
base_fps_showcase,8,8.3643,119.5564
base_fps_showcase,9,18.8005,53.1902
base_fps_showcase,10,7.3745,135.6027
base_fps_showcase,11,8.2945,120.5622
base_fps_showcase,12,19.5595,51.1261
base_fps_showcase,13,8.8584,112.8869
base_fps_showcase,14,7.7433,129.1438
base_fps_showcase,15,9.7425,102.6428
base_fps_showcase,16,7.9438,125.8849
base_fps_showcase,17,19.5236,51.2201
base_fps_showcase,18,5.7251,174.6685
base_fps_showcase,19,7.7371,129.2476
base_fps_showcase,20,8.5813,116.5327
base_fps_showcase,21,15.9882,62.5462
base_fps_showcase,22,8.0539,124.1632
base_fps_showcase,23,9.1134,109.7281
base_fps_showcase,24,8.4020,119.0188
base_fps_showcase,25,8.1020,123.4269
base_fps_showcase,26,8.2788,120.7900
base_fps_showcase,27,15.0493,66.4483
base_fps_showcase,28,7.9938,125.0974
base_fps_showcase,29,9.4126,106.2401
base_fps_showcase,30,19.1804,52.1365
base_fps_showcase,31,8.7871,113.8032
base_fps_showcase,32,7.9196,126.2686
base_fps_showcase,33,8.2601,121.0645
base_fps_showcase,34,7.7085,129.7277
base_fps_showcase,35,20.7657,48.1563
base_fps_showcase,36,4.3798,228.3185
base_fps_showcase,37,8.4390,118.4976
base_fps_showcase,38,9.1374,109.4401
base_fps_showcase,39,18.9008,52.9078
base_fps_showcase,40,8.4422,118.4519
base_fps_showcase,41,8.2249,121.5827
base_fps_showcase,42,8.1373,122.8914
base_fps_showcase,43,9.0839,110.0846
base_fps_showcase,44,18.0503,55.4006
base_fps_showcase,45,8.1520,122.6694
base_fps_showcase,46,8.3186,120.2119
base_fps_showcase,47,20.3112,49.2339
base_fps_showcase,48,6.4965,153.9298
base_fps_showcase,49,7.4936,133.4469
base_fps_showcase,50,7.3546,135.9698
base_fps_showcase,51,7.9097,126.4275
base_fps_showcase,52,8.2915,120.6060
base_fps_showcase,53,22.0276,45.3976
base_fps_showcase,54,1.8705,534.6296
base_fps_showcase,55,8.2750,120.8459
base_fps_showcase,56,8.4051,118.9760
base_fps_showcase,57,16.4431,60.8158
base_fps_showcase,58,7.6581,130.5813
base_fps_showcase,59,8.3980,119.0756
base_fps_showcase,60,8.2272,121.5487
base_fps_showcase,61,8.2957,120.5449
base_fps_showcase,62,8.3008,120.4710
base_fps_showcase,63,17.1842,58.1929
base_fps_showcase,64,8.7574,114.1898
base_fps_showcase,65,7.5512,132.4301
base_fps_showcase,66,15.0699,66.3573
base_fps_showcase,67,8.9319,111.9585
base_fps_showcase,68,7.7498,129.0350
base_fps_showcase,69,8.3161,120.2494
base_fps_showcase,70,8.4628,118.1642
base_fps_showcase,71,8.1992,121.9631
base_fps_showcase,72,17.2159,58.0858
base_fps_showcase,73,7.7227,129.4881
base_fps_showcase,74,8.3870,119.2318
base_fps_showcase,75,18.6124,53.7276
base_fps_showcase,76,8.2165,121.7060
base_fps_showcase,77,9.1702,109.0495
base_fps_showcase,78,7.8249,127.7964
base_fps_showcase,79,8.4034,118.9996
base_fps_showcase,80,8.3586,119.6366
base_fps_showcase,81,17.6399,56.6898
base_fps_showcase,82,8.3121,120.3064
base_fps_showcase,83,6.8277,146.4616
base_fps_showcase,84,14.7574,67.7624
base_fps_showcase,85,7.9879,125.1891
base_fps_showcase,86,8.3949,119.1195
base_fps_showcase,87,9.1573,109.2024
base_fps_showcase,88,7.8002,128.2023
base_fps_showcase,89,8.2707,120.9091
base_fps_showcase,90,17.0789,58.5516
base_fps_showcase,91,8.2875,120.6632
base_fps_showcase,92,9.3949,106.4412
base_fps_showcase,93,16.5062,60.5832
base_fps_showcase,94,8.1078,123.3386
base_fps_showcase,95,8.3321,120.0182
base_fps_showcase,96,8.3384,119.9270
base_fps_showcase,97,11.2417,88.9543
base_fps_showcase,98,7.0494,141.8553
base_fps_showcase,99,17.9944,55.5730
base_fps_showcase,100,6.9278,144.3464
base_fps_showcase,101,8.4636,118.1527
base_fps_showcase,102,16.8716,59.2712
base_fps_showcase,103,7.1400,140.0569
base_fps_showcase,104,8.3147,120.2692
base_fps_showcase,105,8.3204,120.1861
base_fps_showcase,106,8.5543,116.9008
base_fps_showcase,107,9.1341,109.4803
base_fps_showcase,108,15.4585,64.6893
base_fps_showcase,109,7.9992,125.0120
base_fps_showcase,110,8.7412,114.4006
base_fps_showcase,111,16.3695,61.0893
base_fps_showcase,112,7.3327,136.3757
base_fps_showcase,113,10.3317,96.7898
base_fps_showcase,114,7.4317,134.5593
base_fps_showcase,115,7.3895,135.3276
base_fps_showcase,116,8.4048,118.9792
base_fps_showcase,117,21.9271,45.6056
base_fps_showcase,118,7.1253,140.3442
base_fps_showcase,119,18.8211,53.1318
base_fps_showcase,120,8.9551,111.6681
base_fps_showcase,121,8.0389,124.3944
base_fps_showcase,122,8.2265,121.5583
base_fps_showcase,123,8.0802,123.7600
base_fps_showcase,124,8.5857,116.4724
base_fps_showcase,125,19.2334,51.9929
base_fps_showcase,126,5.7385,174.2621
base_fps_showcase,127,7.4514,134.2034
base_fps_showcase,128,20.8707,47.9141
base_fps_showcase,129,6.2772,159.3080
base_fps_showcase,130,9.2466,108.1474
base_fps_showcase,131,6.6185,151.0910
base_fps_showcase,132,8.1853,122.1703
base_fps_showcase,133,8.0252,124.6074
base_fps_showcase,134,18.8431,53.0699
base_fps_showcase,135,5.7377,174.2861
base_fps_showcase,136,7.6629,130.4985
base_fps_showcase,137,8.5346,117.1703
base_fps_showcase,138,15.7333,63.5596
base_fps_showcase,139,8.2688,120.9363
base_fps_showcase,140,8.4277,118.6560
base_fps_showcase,141,9.4830,105.4518
base_fps_showcase,142,7.3483,136.0865
base_fps_showcase,143,8.4307,118.6145
base_fps_showcase,144,14.9054,67.0896
base_fps_showcase,145,8.2686,120.9400
base_fps_showcase,146,21.8620,45.7414
base_fps_showcase,147,6.1086,163.7034
base_fps_showcase,148,6.6543,150.2777
base_fps_showcase,149,8.1310,122.9856
base_fps_showcase,150,8.2774,120.8114
base_fps_showcase,151,9.3235,107.2554
base_fps_showcase,152,7.8437,127.4905
base_fps_showcase,153,17.0455,58.6666
base_fps_showcase,154,8.3370,119.9467
base_fps_showcase,155,23.4199,42.6987
base_fps_showcase,156,4.8090,207.9450
base_fps_showcase,157,8.3160,120.2504
base_fps_showcase,158,8.5784,116.5724
