id,display_name,category,fps_avg,fps_1pct_low,frame_p99_ms,tick_avg_ms,gc_count,heap_delta_mb
particle_cycle,Particle cycle (7 types → all together),Particles,101.904,46.175,21.174,0.607,1,344
entity_cows,Cows ×200 ring,Entities,96.716,44.033,21.092,0.622,3,424
entity_sheep,Sheep ×200 ring,Entities,29.676,20.560,47.845,0.622,1,84
entity_zombies,Zombies ×150 ring (AI on),Entities,29.268,20.225,47.424,0.672,2,218
entity_pigs,Pigs ×250 ring,Entities,29.581,20.507,48.158,0.634,3,340
entity_villagers,Villagers ×100 ring,Entities,0.000,0.000,0.000,0.000,0,0
