benchmark,sample_index,frame_time_ms,fps
pack_shader_showcase,0,9.3580,106.8599
pack_shader_showcase,1,9.0376,110.6482
pack_shader_showcase,2,6.9548,143.7852
pack_shader_showcase,3,9.0660,110.3024
pack_shader_showcase,4,7.6833,130.1532
pack_shader_showcase,5,18.4351,54.2444
pack_shader_showcase,6,17.1359,58.3571
pack_shader_showcase,7,7.5189,132.9977
pack_shader_showcase,8,8.2760,120.8312
pack_shader_showcase,9,8.0675,123.9534
pack_shader_showcase,10,8.9848,111.2990
pack_shader_showcase,11,12.0405,83.0532
pack_shader_showcase,12,5.2570,190.2212
pack_shader_showcase,13,9.3689,106.7357
pack_shader_showcase,14,19.4041,51.5354
pack_shader_showcase,15,17.4924,57.1675
pack_shader_showcase,16,6.7117,148.9946
pack_shader_showcase,17,8.6472,115.6447
pack_shader_showcase,18,7.8906,126.7331
pack_shader_showcase,19,9.2193,108.4684
pack_shader_showcase,20,9.8171,101.8631
pack_shader_showcase,21,15.8730,62.9999
pack_shader_showcase,22,18.4600,54.1710
pack_shader_showcase,23,21.0635,47.4756
pack_shader_showcase,24,4.5814,218.2761
pack_shader_showcase,25,8.3299,120.0501
pack_shader_showcase,26,8.2876,120.6628
pack_shader_showcase,27,8.8078,113.5357
pack_shader_showcase,28,8.8873,112.5202
pack_shader_showcase,29,8.4777,117.9559
pack_shader_showcase,30,6.9774,143.3201
pack_shader_showcase,31,15.4563,64.6984
pack_shader_showcase,32,16.0281,62.3904
pack_shader_showcase,33,8.3203,120.1879
pack_shader_showcase,34,7.5946,131.6725
pack_shader_showcase,35,8.2911,120.6119
pack_shader_showcase,36,7.6155,131.3114
pack_shader_showcase,37,8.5452,117.0248
pack_shader_showcase,38,9.3602,106.8355
pack_shader_showcase,39,9.5959,104.2112
pack_shader_showcase,40,17.2769,57.8808
pack_shader_showcase,41,16.1491,61.9228
pack_shader_showcase,42,9.2230,108.4246
pack_shader_showcase,43,9.1208,109.6395
pack_shader_showcase,44,6.7167,148.8833
pack_shader_showcase,45,8.4821,117.8947
pack_shader_showcase,46,8.1004,123.4510
pack_shader_showcase,47,8.7119,114.7850
pack_shader_showcase,48,9.1191,109.6596
pack_shader_showcase,49,17.3115,57.7649
pack_shader_showcase,50,14.4366,69.2682
pack_shader_showcase,51,7.5266,132.8622
pack_shader_showcase,52,9.0489,110.5106
pack_shader_showcase,53,10.9072,91.6829
pack_shader_showcase,54,6.2805,159.2226
pack_shader_showcase,55,8.6496,115.6128
pack_shader_showcase,56,7.9200,126.2629
pack_shader_showcase,57,8.4478,118.3739
pack_shader_showcase,58,20.5336,48.7007
pack_shader_showcase,59,15.3157,65.2926
pack_shader_showcase,60,8.7855,113.8244
pack_shader_showcase,61,8.7074,114.8448
pack_shader_showcase,62,7.7313,129.3437
pack_shader_showcase,63,16.9262,59.0799
pack_shader_showcase,64,2.2235,449.7319
pack_shader_showcase,65,8.4879,117.8153
pack_shader_showcase,66,8.7077,114.8406
pack_shader_showcase,67,36.7505,27.2105
pack_shader_showcase,68,2.7649,361.6724
pack_shader_showcase,69,8.1879,122.1318
pack_shader_showcase,70,10.0910,99.0977
pack_shader_showcase,71,7.5667,132.1572
pack_shader_showcase,72,9.5326,104.9034
pack_shader_showcase,73,6.8255,146.5100
pack_shader_showcase,74,8.7691,114.0366
pack_shader_showcase,75,8.0604,124.0630
pack_shader_showcase,76,18.5437,53.9267
pack_shader_showcase,77,19.2176,52.0357
pack_shader_showcase,78,3.9769,251.4553
pack_shader_showcase,79,8.8434,113.0783
pack_shader_showcase,80,9.5909,104.2655
pack_shader_showcase,81,9.3455,107.0028
pack_shader_showcase,82,6.5122,153.5571
pack_shader_showcase,83,9.3774,106.6392
pack_shader_showcase,84,8.1971,121.9948
pack_shader_showcase,85,19.5299,51.2036
pack_shader_showcase,86,18.4940,54.0716
pack_shader_showcase,87,5.0774,196.9508
pack_shader_showcase,88,8.6697,115.3442
pack_shader_showcase,89,9.0386,110.6371
pack_shader_showcase,90,8.2541,121.1512
pack_shader_showcase,91,9.1470,109.3252
pack_shader_showcase,92,7.0677,141.4880
pack_shader_showcase,93,20.0598,49.8510
pack_shader_showcase,94,16.3297,61.2382
pack_shader_showcase,95,8.1329,122.9569
pack_shader_showcase,96,7.6418,130.8585
pack_shader_showcase,97,8.3018,120.4564
pack_shader_showcase,98,8.2382,121.3858
pack_shader_showcase,99,8.9316,111.9624
pack_shader_showcase,100,6.9493,143.9000
pack_shader_showcase,101,13.1136,76.2566
pack_shader_showcase,102,15.1799,65.8766
pack_shader_showcase,103,17.2465,57.9827
pack_shader_showcase,104,7.7062,129.7664
pack_shader_showcase,105,10.8534,92.1371
pack_shader_showcase,106,5.7924,172.6400
pack_shader_showcase,107,8.5498,116.9615
pack_shader_showcase,108,8.2877,120.6607
pack_shader_showcase,109,9.2081,108.6003
pack_shader_showcase,110,26.1893,38.1836
pack_shader_showcase,111,4.4605,224.1879
pack_shader_showcase,112,15.5072,64.4860
pack_shader_showcase,113,9.0019,111.0880
pack_shader_showcase,114,8.8564,112.9126
pack_shader_showcase,115,6.8674,145.6157
pack_shader_showcase,116,8.8437,113.0744
pack_shader_showcase,117,7.0416,142.0122
pack_shader_showcase,118,8.4509,118.3312
pack_shader_showcase,119,35.2389,28.3777
pack_shader_showcase,120,5.1196,195.3274
pack_shader_showcase,121,7.9858,125.2217
pack_shader_showcase,122,8.1986,121.9727
pack_shader_showcase,123,10.4141,96.0236
pack_shader_showcase,124,6.9428,144.0351
pack_shader_showcase,125,8.3301,120.0459
pack_shader_showcase,126,7.9507,125.7748
pack_shader_showcase,127,7.7009,129.8551
pack_shader_showcase,128,20.7155,48.2731
pack_shader_showcase,129,14.3691,69.5936
pack_shader_showcase,130,8.1436,122.7961
pack_shader_showcase,131,8.3247,120.1247
pack_shader_showcase,132,8.2096,121.8079
pack_shader_showcase,133,9.4783,105.5040
pack_shader_showcase,134,6.8891,145.1566
pack_shader_showcase,135,9.4724,105.5697
pack_shader_showcase,136,7.2291,138.3304
pack_shader_showcase,137,8.5730,116.6447
pack_shader_showcase,138,19.4797,51.3356
pack_shader_showcase,139,16.3439,61.1848
pack_shader_showcase,140,7.4037,135.0679
pack_shader_showcase,141,9.0364,110.6636
pack_shader_showcase,142,6.8236,146.5497
pack_shader_showcase,143,11.7840,84.8605
pack_shader_showcase,144,6.5025,153.7876
pack_shader_showcase,145,8.6825,115.1740
pack_shader_showcase,146,8.2129,121.7598
pack_shader_showcase,147,16.7367,59.7489
pack_shader_showcase,148,18.3206,54.5833
pack_shader_showcase,149,5.8256,171.6576
