benchmark,sample_index,frame_time_ms,fps
redstone_clocks,0,9.0269,110.7797
redstone_clocks,1,7.8255,127.7874
redstone_clocks,2,8.1933,122.0505
redstone_clocks,3,17.5420,57.0061
redstone_clocks,4,8.4785,117.9447
redstone_clocks,5,8.8877,112.5152
redstone_clocks,6,7.7147,129.6225
redstone_clocks,7,16.2461,61.5532
redstone_clocks,8,8.3222,120.1610
redstone_clocks,9,8.5398,117.0988
redstone_clocks,10,9.1188,109.6635
redstone_clocks,11,7.7067,129.7579
redstone_clocks,12,17.4904,57.1743
redstone_clocks,13,8.2659,120.9789
redstone_clocks,14,8.5816,116.5281
redstone_clocks,15,8.7754,113.9546
redstone_clocks,16,18.4483,54.2056
redstone_clocks,17,8.2273,121.5470
redstone_clocks,18,8.6950,115.0091
redstone_clocks,19,8.2746,120.8519
redstone_clocks,20,21.9988,45.4571
redstone_clocks,21,3.9178,255.2427
redstone_clocks,22,8.2944,120.5630
redstone_clocks,23,8.4354,118.5484
redstone_clocks,24,8.8584,112.8866
redstone_clocks,25,17.1403,58.3421
redstone_clocks,26,8.3345,119.9836
redstone_clocks,27,8.2835,120.7218
redstone_clocks,28,8.6439,115.6884
redstone_clocks,29,21.3945,46.7409
redstone_clocks,30,7.6527,130.6736
redstone_clocks,31,8.4479,118.3721
redstone_clocks,32,8.4023,119.0145
redstone_clocks,33,17.6203,56.7528
redstone_clocks,34,7.8484,127.4146
redstone_clocks,35,8.6133,116.0993
redstone_clocks,36,8.3234,120.1436
redstone_clocks,37,8.4138,118.8525
redstone_clocks,38,17.5064,57.1221
redstone_clocks,39,7.7301,129.3651
redstone_clocks,40,8.6995,114.9486
redstone_clocks,41,8.0592,124.0814
redstone_clocks,42,15.1432,66.0363
redstone_clocks,43,8.8577,112.8958
redstone_clocks,44,7.8420,127.5179
redstone_clocks,45,8.3840,119.2754
redstone_clocks,46,8.4911,117.7697
redstone_clocks,47,17.8049,56.1644
redstone_clocks,48,8.9218,112.0848
redstone_clocks,49,7.5749,132.0150
redstone_clocks,50,8.5275,117.2681
redstone_clocks,51,17.4062,57.4507
redstone_clocks,52,8.2606,121.0570
redstone_clocks,53,8.9195,112.1140
redstone_clocks,54,7.9633,125.5766
redstone_clocks,55,8.5524,116.9261
redstone_clocks,56,17.9600,55.6794
redstone_clocks,57,8.6679,115.3676
redstone_clocks,58,8.0020,124.9682
redstone_clocks,59,21.1997,47.1704
redstone_clocks,60,8.1303,122.9968
redstone_clocks,61,8.5200,117.3706
redstone_clocks,62,9.0402,110.6176
redstone_clocks,63,7.7960,128.2706
redstone_clocks,64,8.4721,118.0351
redstone_clocks,65,17.5167,57.0883
redstone_clocks,66,8.1970,121.9954
redstone_clocks,67,9.0785,110.1503
redstone_clocks,68,18.2179,54.8910
redstone_clocks,69,8.0723,123.8812
redstone_clocks,70,8.4824,117.8917
redstone_clocks,71,8.7722,113.9964
redstone_clocks,72,8.0488,124.2416
redstone_clocks,73,8.4922,117.7554
redstone_clocks,74,16.6849,59.9344
redstone_clocks,75,8.3469,119.8054
redstone_clocks,76,8.9726,111.4508
redstone_clocks,77,17.9767,55.6275
redstone_clocks,78,8.3310,120.0343
redstone_clocks,79,8.2345,121.4403
redstone_clocks,80,8.5090,117.5229
redstone_clocks,81,8.8313,113.2330
redstone_clocks,82,19.0290,52.5515
redstone_clocks,83,8.2133,121.7542
redstone_clocks,84,8.6648,115.4092
redstone_clocks,85,8.2532,121.1657
redstone_clocks,86,15.5440,64.3335
redstone_clocks,87,7.7104,129.6943
redstone_clocks,88,8.4599,118.2053
redstone_clocks,89,8.3577,119.6497
redstone_clocks,90,8.5224,117.3381
redstone_clocks,91,22.1358,45.1757
redstone_clocks,92,4.5631,219.1502
redstone_clocks,93,8.2936,120.5752
redstone_clocks,94,8.5015,117.6263
redstone_clocks,95,19.0015,52.6274
redstone_clocks,96,7.7598,128.8687
redstone_clocks,97,8.3388,119.9216
redstone_clocks,98,8.4429,118.4427
redstone_clocks,99,20.4760,48.8377
redstone_clocks,100,4.7856,208.9620
redstone_clocks,101,7.5753,132.0075
redstone_clocks,102,8.5975,116.3129
redstone_clocks,103,8.2973,120.5214
redstone_clocks,104,18.5013,54.0502
redstone_clocks,105,7.7704,128.6937
redstone_clocks,106,8.3205,120.1855
redstone_clocks,107,8.5218,117.3462
redstone_clocks,108,19.0237,52.5660
redstone_clocks,109,8.6120,116.1169
redstone_clocks,110,8.0543,124.1577
redstone_clocks,111,8.3435,119.8533
redstone_clocks,112,20.9789,47.6670
redstone_clocks,113,8.1814,122.2287
redstone_clocks,114,9.1669,109.0882
redstone_clocks,115,7.6992,129.8830
redstone_clocks,116,19.3104,51.7856
redstone_clocks,117,8.1678,122.4320
redstone_clocks,118,8.9102,112.2305
redstone_clocks,119,7.9325,126.0644
redstone_clocks,120,21.4387,46.6446
redstone_clocks,121,8.2774,120.8112
redstone_clocks,122,8.4394,118.4921
redstone_clocks,123,9.1842,108.8829
redstone_clocks,124,7.6093,131.4187
redstone_clocks,125,16.5542,60.4075
