benchmark,sample_index,frame_time_ms,fps
particle_cycle,0,9.8468,101.5556
particle_cycle,1,7.3940,135.2453
particle_cycle,2,16.3410,61.1958
particle_cycle,3,16.3521,61.1541
particle_cycle,4,17.7341,56.3887
particle_cycle,5,6.8192,146.6437
particle_cycle,6,8.2771,120.8157
particle_cycle,7,8.3794,119.3408
particle_cycle,8,8.6443,115.6834
particle_cycle,9,9.6661,103.4546
particle_cycle,10,15.0269,66.5474
particle_cycle,11,15.8536,63.0771
particle_cycle,12,15.7507,63.4893
particle_cycle,13,10.6289,94.0833
particle_cycle,14,6.5087,153.6409
particle_cycle,15,8.6874,115.1088
particle_cycle,16,8.1793,122.2596
particle_cycle,17,8.6224,115.9772
particle_cycle,18,21.7686,45.9377
particle_cycle,19,14.8926,67.1474
particle_cycle,20,1.7496,571.5504
particle_cycle,21,16.0789,62.1935
particle_cycle,22,18.2970,54.6538
particle_cycle,23,2.6519,377.0947
particle_cycle,24,8.0018,124.9719
particle_cycle,25,8.4482,118.3685
particle_cycle,26,8.1137,123.2480
particle_cycle,27,17.2884,57.8423
particle_cycle,28,14.9984,66.6739
particle_cycle,29,19.8457,50.3888
particle_cycle,30,8.3117,120.3124
particle_cycle,31,7.1947,138.9912
particle_cycle,32,8.1101,123.3032
particle_cycle,33,8.4304,118.6190
particle_cycle,34,8.5391,117.1079
particle_cycle,35,18.3034,54.6346
particle_cycle,36,15.4425,64.7563
particle_cycle,37,16.0089,62.4654
particle_cycle,38,8.5383,117.1200
particle_cycle,39,9.4633,105.6718
particle_cycle,40,7.2149,138.6024
particle_cycle,41,8.4131,118.8622
particle_cycle,42,8.3850,119.2612
particle_cycle,43,15.3352,65.2093
particle_cycle,44,18.6300,53.6769
particle_cycle,45,15.2949,65.3814
particle_cycle,46,8.4663,118.1157
particle_cycle,47,8.2138,121.7465
particle_cycle,48,9.9310,100.6946
particle_cycle,49,7.0391,142.0641
particle_cycle,50,8.4872,117.8240
particle_cycle,51,21.5127,46.4842
particle_cycle,52,17.4449,57.3235
particle_cycle,53,16.6678,59.9958
particle_cycle,54,7.9989,125.0171
particle_cycle,55,8.3636,119.5659
particle_cycle,56,8.6839,115.1552
particle_cycle,57,9.5385,104.8383
particle_cycle,58,7.2327,138.2607
particle_cycle,59,18.2033,54.9350
particle_cycle,60,18.3057,54.6278
particle_cycle,61,15.7320,63.5646
particle_cycle,62,8.1824,122.2135
particle_cycle,63,8.3838,119.2778
particle_cycle,64,8.5806,116.5422
particle_cycle,65,9.1588,109.1848
particle_cycle,66,21.4514,46.6170
particle_cycle,67,17.9519,55.7044
particle_cycle,68,19.0614,52.4620
particle_cycle,69,6.3156,158.3382
particle_cycle,70,8.9079,112.2602
particle_cycle,71,8.0107,124.8327
