id,display_name,category,fps_avg,fps_1pct_low,frame_p99_ms,tick_avg_ms,gc_count,heap_delta_mb
particle_cycle,Particle cycle (7 types → all together),Particles,0.000,0.000,0.000,0.000,0,0
particle_cycle,Particle cycle (7 types → all together),Particles,0.000,0.000,0.000,0.000,0,0
particle_cycle,Particle cycle (7 types → all together),Particles,0.000,0.000,0.000,0.000,0,0
particle_cycle,Particle cycle (7 types → all together),Particles,0.000,0.000,0.000,0.000,0,0
particle_cycle,Particle cycle (7 types → all together),Particles,0.000,0.000,0.000,0.000,0,0
particle_cycle,Particle cycle (7 types → all together),Particles,0.000,0.000,0.000,0.000,0,0
particle_cycle,Particle cycle (7 types → all together),Particles,0.000,0.000,0.000,0.000,0,0
particle_cycle,Particle cycle (7 types → all together),Particles,0.000,0.000,0.000,0.000,0,0
entity_xp,XP orbs ×500 ring,Entities,0.000,0.000,0.000,0.000,0,0
entity_xp,XP orbs ×500 ring,Entities,0.000,0.000,0.000,0.000,0,0
entity_xp,XP orbs ×500 ring,Entities,0.000,0.000,0.000,0.000,0,0
villager_ai_village,"Villager AI village (80, brain on)",Entities,0.000,0.000,0.000,0.000,0,0
villager_ai_village,"Villager AI village (80, brain on)",Entities,0.000,0.000,0.000,0.000,0,0
villager_ai_village,"Villager AI village (80, brain on)",Entities,0.000,0.000,0.000,0.000,0,0
falling_sand,Falling sand wall 40×40 (heavy),Physics,0.000,0.000,0.000,0.000,0,0
falling_gravel_mixed,Falling gravel mixed heavy (sand+gravel+concrete),Physics,0.000,0.000,0.000,0.000,0,0
falling_sand_lite,"Falling sand wall (lite, staggered)",Physics,0.000,0.000,0.000,0.000,0,0
falling_sand_lite,"Falling sand wall (lite, staggered)",Physics,0.000,0.000,0.000,0.000,0,0
falling_sand_lite,"Falling sand wall (lite, staggered)",Physics,0.000,0.000,0.000,0.000,0,0
falling_sand_lite,"Falling sand wall (lite, staggered)",Physics,0.000,0.000,0.000,0.000,0,0
redstone_dust_grid,Redstone dust grid (16 trails ×32 + repeaters + lamps),Redstone,0.000,0.000,0.000,0.000,0,0
piston_slime_array,Piston/slime array (8×8 toggled every 8t),Redstone,0.000,0.000,0.000,0.000,0,0
static_dense_forest,"Static dense forest (orbit canopy, no worldgen)",Chunks,0.000,0.000,0.000,0.000,0,0
static_dense_forest,"Static dense forest (orbit canopy, no worldgen)",Chunks,0.000,0.000,0.000,0.000,0,0
chunk_jungle,Jungle flyby (single-biome world),Chunks,0.000,0.000,0.000,0.000,0,0
chunk_jungle,Jungle flyby (single-biome world),Chunks,0.000,0.000,0.000,0.000,0,0
chunk_jungle,Jungle flyby (single-biome world),Chunks,0.000,0.000,0.000,0.000,0,0
chunk_jungle,Jungle flyby (single-biome world),Chunks,0.000,0.000,0.000,0.000,0,0
chunk_jungle,Jungle flyby (single-biome world),Chunks,0.000,0.000,0.000,0.000,0,0
chunk_jungle,Jungle flyby (single-biome world),Chunks,0.000,0.000,0.000,0.000,0,0
chunk_swamp,Swamp flyby,Chunks,0.000,0.000,0.000,0.000,0,0
chunk_swamp,Swamp flyby,Chunks,0.000,0.000,0.000,0.000,0,0
chunk_swamp,Swamp flyby,Chunks,0.000,0.000,0.000,0.000,0,0
chunk_swamp,Swamp flyby,Chunks,0.000,0.000,0.000,0.000,0,0
chunk_swamp,Swamp flyby,Chunks,0.000,0.000,0.000,0.000,0,0
idle_baseline,Idle Baseline,Baseline,0.000,0.000,0.000,0.000,0,0
idle_baseline,Idle Baseline,Baseline,0.000,0.000,0.000,0.000,0,0
idle_baseline,Idle Baseline,Baseline,0.000,0.000,0.000,0.000,0,0
idle_baseline,Idle Baseline,Baseline,0.000,0.000,0.000,0.000,0,0
idle_baseline,Idle Baseline,Baseline,0.000,0.000,0.000,0.000,0,0
idle_baseline,Idle Baseline,Baseline,0.000,0.000,0.000,0.000,0,0
pack_shader_showcase,LowEnd Shader,Showcase,0.000,0.000,0.000,0.000,0,0
